Provinsi,Kabupaten,No,Komoditas,Satuan,2020,2021,2022,2023,2024,2025
Langsa,Langsa,2,KACANG HIJAU,Ton,0.0,0.0,0.0,0.0,0.0,0.0
Langsa,Langsa,3,KACANG TANAH,Ton,0.0,1.3,0.0,0.0,0.0,0.0
Langsa,Langsa,4,KEDELAI,Ton,0.0,0.0,0.0,0.0,0.0,0.0
Langsa,Langsa,5,PADI,Ton,6489.0,6364.37,7101.39,9203.42,0.0,0.0
Langsa,Langsa,6,PADI LADANG,Ton,0.0,0.0,0.0,0.0,0.0,0.0
Langsa,Langsa,7,PADI SAWAH,Ton,0.0,0.0,0.0,0.0,0.0,0.0
Langsa,Langsa,8,UBIJALAR,Ton,0.0,0.0,0.0,0.0,0.0,0.0
Langsa,Langsa,9,UBIKAYU / KETELA POHON,Ton,3072.34,2557.35,1640.99,837.3,0.0,0.0
Lhokseumawe,Lhokseumawe,1,JAGUNG,Ton,235.58,71.03,0.0,0.0,0.0,0.0
Lhokseumawe,Lhokseumawe,2,KACANG HIJAU,Ton,0.8,0.0,1.29,0.0,0.0,0.0
Lhokseumawe,Lhokseumawe,3,KACANG TANAH,Ton,4.3,11.3,1.29,0.0,0.0,0.0
Lhokseumawe,Lhokseumawe,4,KEDELAI,Ton,0.0,0.0,0.0,0.0,0.0,0.0
Lhokseumawe,Lhokseumawe,5,PADI,Ton,10844.51,10845.97,9899.07,7473.79,0.0,0.0
Lhokseumawe,Lhokseumawe,6,PADI LADANG,Ton,0.0,0.0,0.0,0.0,0.0,0.0
Lhokseumawe,Lhokseumawe,7,PADI SAWAH,Ton,0.0,0.0,0.0,0.0,0.0,0.0
Lhokseumawe,Lhokseumawe,8,UBIJALAR,Ton,0.0,0.0,26.11,0.0,0.0,0.0
Lhokseumawe,Lhokseumawe,9,UBIKAYU / KETELA POHON,Ton,245.87,321.68,206.45,81.91,0.0,0.0
Subulussalam,Subulussalam,1,JAGUNG,Ton,17934.46,16445.56,7878.97,0.0,0.0,0.0
Subulussalam,Subulussalam,2,KACANG HIJAU,Ton,23.0,18.0,29.08,0.0,0.0,0.0
Subulussalam,Subulussalam,3,KACANG TANAH,Ton,46.43,40.36,29.08,44.71,0.0,0.0
Subulussalam,Subulussalam,4,KEDELAI,Ton,9.41,11.61,1.43,0.0,0.0,0.0
Subulussalam,Subulussalam,5,PADI,Ton,2158.11,757.12,244.58,124.77,0.0,0.0
Subulussalam,Subulussalam,6,PADI LADANG,Ton,0.0,0.0,0.0,0.0,0.0,0.0
Subulussalam,Subulussalam,7,PADI SAWAH,Ton,0.0,0.0,0.0,0.0,0.0,0.0
Subulussalam,Subulussalam,8,UBIJALAR,Ton,209.69,209.44,193.92,235.77,0.0,0.0
Subulussalam,Subulussalam,9,UBIKAYU / KETELA POHON,Ton,1585.21,2717.64,2597.92,2184.25,0.0,0.0
Nias,Nias,1,JAGUNG,Ton,0.0,0.0,0.0,0.0,0.0,0.0
Nias,Nias,2,KACANG HIJAU,Ton,0.0,1.2,0.4,0.0,0.0,0.0
Nias,Nias,3,KACANG TANAH,Ton,0.59,0.87,10.58,0.0,0.0,0.0
Nias,Nias,4,KEDELAI,Ton,1.67,0.0,0.0,0.0,0.0,0.0
Nias,Nias,5,PADI,Ton,35387.89,36559.9,35244.47,38155.62,41573.96,0.0
Nias,Nias,6,PADI LADANG,Ton,0.0,0.0,0.0,0.0,0.0,0.0
Nias,Nias,7,PADI SAWAH,Ton,0.0,0.0,0.0,0.0,0.0,0.0
Nias,Nias,8,UBIJALAR,Ton,337.88,482.07,768.51,0.0,0.0,0.0
Nias,Nias,9,UBIKAYU / KETELA POHON,Ton,1204.3,943.3,1234.35,0.0,0.0,0.0
Mandailing,Mandailing Natal,1,JAGUNG,Ton,0.0,0.0,0.0,0.0,0.0,0.0
Mandailing,Mandailing Natal,2,KACANG HIJAU,Ton,123.0,81.2,55.5,0.0,0.0,0.0
Mandailing,Mandailing Natal,3,KACANG TANAH,Ton,352.99,262.42,335.59,0.0,0.0,0.0
Mandailing,Mandailing Natal,4,KEDELAI,Ton,0.0,0.0,0.31,0.0,0.0,0.0
Mandailing,Mandailing Natal,5,PADI,Ton,74365.92,72323.45,82436.28,78282.95,95562.19,0.0
Mandailing,Mandailing Natal,6,PADI LADANG,Ton,0.0,0.0,0.0,0.0,0.0,0.0
