Provinsi,Kabupaten,No,Komoditas,Satuan,2020,2021,2022,2023,2024,2025
Nias,Nias,5,PADI,Ha,9513.49,8999.56,7704.17,8481.7,9173.7,0.0
Nias,Nias,6,PADI LADANG,Ha,0.0,0.0,0.0,0.0,0.0,0.0
Nias,Nias,7,PADI SAWAH,Ha,0.0,0.0,0.0,0.0,0.0,0.0
Nias,Nias,8,UBIJALAR,Ha,17.0,25.7,38.0,0.0,0.0,0.0
Nias,Nias,9,UBIKAYU / KETELA POHON,Ha,34.5,43.5,51.4,0.0,0.0,0.0
Mandailing,Mandailing Natal,1,JAGUNG,Ha,0.0,0.0,0.0,0.0,0.0,0.0
Mandailing,Mandailing Natal,2,KACANG HIJAU,Ha,131.0,81.0,74.5,0.0,0.0,0.0
Mandailing,Mandailing Natal,3,KACANG TANAH,Ha,320.0,248.0,183.0,0.0,0.0,0.0
Mandailing,Mandailing Natal,4,KEDELAI,Ha,0.0,0.0,0.2,0.0,0.0,0.0
Mandailing,Mandailing Natal,5,PADI,Ha,18198.88,17158.99,20813.47,19833.89,22625.8,0.0
Mandailing,Mandailing Natal,6,PADI LADANG,Ha,0.0,0.0,0.0,0.0,0.0,0.0
Mandailing,Mandailing Natal,7,PADI SAWAH,Ha,0.0,0.0,0.0,0.0,0.0,0.0
Mandailing,Mandailing Natal,8,UBIJALAR,Ha,142.0,81.0,58.2,0.0,0.0,0.0
Mandailing,Mandailing Natal,9,UBIKAYU / KETELA POHON,Ha,100.0,68.0,59.3,0.0,0.0,0.0
Tapanuli,Tapanuli Selatan,1,JAGUNG,Ha,0.0,0.0,0.0,0.0,0.0,0.0
Tapanuli,Tapanuli Selatan,2,KACANG HIJAU,Ha,68.0,78.7,60.7,0.0,0.0,0.0
Tapanuli,Tapanuli Selatan,3,KACANG TANAH,Ha,223.0,249.7,177.1,0.0,0.0,0.0
Tapanuli,Tapanuli Selatan,4,KEDELAI,Ha,43.0,35.0,30.0,0.0,0.0,0.0
Tapanuli,Tapanuli Selatan,5,PADI,Ha,17677.65,16697.95,19790.77,18748.74,19965.56,0.0
Tapanuli,Tapanuli Selatan,6,PADI LADANG,Ha,0.0,0.0,0.0,0.0,0.0,0.0
Tapanuli,Tapanuli Selatan,7,PADI SAWAH,Ha,0.0,0.0,0.0,0.0,0.0,0.0
Tapanuli,Tapanuli Selatan,8,UBIJALAR,Ha,133.0,116.5,101.0,0.0,0.0,0.0
Tapanuli,Tapanuli Selatan,9,UBIKAYU / KETELA POHON,Ha,137.0,124.1,93.3,0.0,0.0,0.0
Tapanuli,Tapanuli Tengah,1,JAGUNG,Ha,0.0,0.0,0.0,0.0,0.0,0.0
Tapanuli,Tapanuli Tengah,2,KACANG HIJAU,Ha,0.0,0.0,0.0,0.0,0.0,0.0
Tapanuli,Tapanuli Tengah,3,KACANG TANAH,Ha,0.0,0.0,0.0,0.0,0.0,0.0
Tapanuli,Tapanuli Tengah,4,KEDELAI,Ha,0.0,0.0,0.0,0.0,0.0,0.0
Tapanuli,Tapanuli Tengah,5,PADI,Ha,11903.68,12366.14,12218.7,12079.15,12136.83,0.0
Tapanuli,Tapanuli Tengah,6,PADI LADANG,Ha,0.0,0.0,0.0,0.0,0.0,0.0
Tapanuli,Tapanuli Tengah,7,PADI SAWAH,Ha,0.0,0.0,0.0,0.0,0.0,0.0
Tapanuli,Tapanuli Tengah,8,UBIJALAR,Ha,0.0,0.0,0.0,0.0,0.0,0.0
Tapanuli,Tapanuli Tengah,9,UBIKAYU / KETELA POHON,Ha,18.0,16.0,14.0,0.0,0.0,0.0
Tapanuli,Tapanuli Utara,1,JAGUNG,Ha,0.0,0.0,0.0,0.0,0.0,0.0
Tapanuli,Tapanuli Utara,2,KACANG HIJAU,Ha,0.0,0.0,0.0,0.0,0.0,0.0
Tapanuli,Tapanuli Utara,3,KACANG TANAH,Ha,1597.7,1603.5,1619.3,0.0,0.0,0.0
Tapanuli,Tapanuli Utara,4,KEDELAI,Ha,0.0,0.0,0.2,0.0,0.0,0.0
Tapanuli,Tapanuli Utara,5,PADI,Ha,21508.92,21621.69,27457.39,25293.86,24187.41,0.0
Tapanuli,Tapanuli Utara,6,PADI LADANG,Ha,0.0,0.0,0.0,0.0,0.0,0.0
Tapanuli,Tapanuli Utara,7,PADI SAWAH,Ha,0.0,0.0,0.0,0.0,0.0,0.0
Tapanuli,Tapanuli Utara,8,UBIJALAR,Ha,367.4,368.0,428.0,0.0,0.0,0.0
Tapanuli,Tapanuli Utara,9,UBIKAYU / KETELA POHON,Ha,437.0,467.0,509.0,0.0,0.0,0.0
Toba,Toba,1,JAGUNG,Ha,0.0,0.0,0.0,0.0,0.0,0.0
Toba,Toba,2,KACANG HIJAU,Ha,0.0,0.0,0.0,0.0,0.0,0.0
Toba,Toba,3,KACANG TANAH,Ha,35.0,37.0,46.0,0.0,0.0,0.0
Toba,Toba,4,KEDELAI,Ha,362.0,0.0,0.0,0.0,0.0,0.0
Toba,Toba,5,PADI,Ha,17574.08,17687.1,16504.07,16361.1,16080.93,0.0
Toba,Toba,6,PADI LADANG,Ha,0.0,0.0,0.0,0.0,0.0,0.0
Toba,Toba,7,PADI SAWAH,Ha,0.0,0.0,0.0,0.0,0.0,0.0
Toba,Toba,8,UBIJALAR,Ha,18.0,4.0,6.0,0.0,0.0,0.0
Toba,Toba,9,UBIKAYU / KETELA POHON,Ha,405.0,634.5,357.0,0.0,0.0,0.0
Labuhan,Labuhan Batu,1,JAGUNG,Ha,0.0,0.0,0.0,0.0,0.0,0.0
