Provinsi,Kabupaten,No,Komoditas,Satuan,2020,2021,2022,2023,2024,2025
Banda,Banda Aceh,5,PADI,Kuintal/Ha,52.96,53.31,55.83,0.0,0.0,0.0
Banda,Banda Aceh,6,PADI LADANG,Kuintal/Ha,0.0,0.0,0.0,0.0,0.0,0.0
Banda,Banda Aceh,7,PADI SAWAH,Kuintal/Ha,0.0,0.0,0.0,0.0,0.0,0.0
Banda,Banda Aceh,8,UBIJALAR,Kuintal/Ha,0.0,0.0,0.0,0.0,0.0,0.0
Banda,Banda Aceh,9,UBIKAYU / KETELA POHON,Kuintal/Ha,0.0,0.0,0.0,0.0,0.0,0.0
Sabang,Sabang,1,JAGUNG,Kuintal/Ha,0.0,0.0,0.0,0.0,0.0,0.0
Sabang,Sabang,2,KACANG HIJAU,Kuintal/Ha,0.0,0.0,15.36,0.0,0.0,0.0
Sabang,Sabang,3,KACANG TANAH,Kuintal/Ha,15.24,13.44,15.36,0.0,0.0,0.0
Sabang,Sabang,4,KEDELAI,Kuintal/Ha,0.0,0.0,0.0,0.0,0.0,0.0
Sabang,Sabang,5,PADI,Kuintal/Ha,0.0,0.0,0.0,0.0,0.0,0.0
Sabang,Sabang,6,PADI LADANG,Kuintal/Ha,0.0,0.0,0.0,0.0,0.0,0.0
Sabang,Sabang,7,PADI SAWAH,Kuintal/Ha,0.0,0.0,0.0,0.0,0.0,0.0
Sabang,Sabang,8,UBIJALAR,Kuintal/Ha,0.0,0.0,0.0,0.0,0.0,0.0
Sabang,Sabang,9,UBIKAYU / KETELA POHON,Kuintal/Ha,0.0,0.0,0.0,0.0,0.0,0.0
Langsa,Langsa,1,JAGUNG,Kuintal/Ha,0.0,0.0,0.0,0.0,0.0,0.0
Langsa,Langsa,2,KACANG HIJAU,Kuintal/Ha,0.0,0.0,0.0,0.0,0.0,0.0
Langsa,Langsa,3,KACANG TANAH,Kuintal/Ha,0.0,13.05,0.0,0.0,0.0,0.0
Langsa,Langsa,4,KEDELAI,Kuintal/Ha,0.0,0.0,0.0,0.0,0.0,0.0
Langsa,Langsa,5,PADI,Kuintal/Ha,40.38,40.77,44.1,0.0,0.0,0.0
Langsa,Langsa,6,PADI LADANG,Kuintal/Ha,0.0,0.0,0.0,0.0,0.0,0.0
Langsa,Langsa,7,PADI SAWAH,Kuintal/Ha,0.0,0.0,0.0,0.0,0.0,0.0
Langsa,Langsa,8,UBIJALAR,Kuintal/Ha,0.0,0.0,0.0,0.0,0.0,0.0
Langsa,Langsa,9,UBIKAYU / KETELA POHON,Kuintal/Ha,0.0,0.0,130.56,0.0,0.0,0.0
Lhokseumawe,Lhokseumawe,1,JAGUNG,Kuintal/Ha,0.0,0.0,0.0,0.0,0.0,0.0
Lhokseumawe,Lhokseumawe,2,KACANG HIJAU,Kuintal/Ha,8.0,0.0,12.92,0.0,0.0,0.0
Lhokseumawe,Lhokseumawe,3,KACANG TANAH,Kuintal/Ha,14.35,14.12,12.92,0.0,0.0,0.0
Lhokseumawe,Lhokseumawe,4,KEDELAI,Kuintal/Ha,0.0,0.0,0.0,0.0,0.0,0.0
Lhokseumawe,Lhokseumawe,5,PADI,Kuintal/Ha,55.31,57.0,54.63,0.0,0.0,0.0
Lhokseumawe,Lhokseumawe,6,PADI LADANG,Kuintal/Ha,0.0,0.0,0.0,0.0,0.0,0.0
Lhokseumawe,Lhokseumawe,7,PADI SAWAH,Kuintal/Ha,0.0,0.0,0.0,0.0,0.0,0.0
Lhokseumawe,Lhokseumawe,8,UBIJALAR,Kuintal/Ha,0.0,0.0,130.56,0.0,0.0,0.0
Lhokseumawe,Lhokseumawe,9,UBIKAYU / KETELA POHON,Kuintal/Ha,0.0,0.0,0.0,0.0,0.0,0.0
Subulussalam,Subulussalam,1,JAGUNG,Kuintal/Ha,0.0,0.0,0.0,0.0,0.0,0.0
Subulussalam,Subulussalam,2,KACANG HIJAU,Kuintal/Ha,10.95,10.59,15.3,0.0,0.0,0.0
Subulussalam,Subulussalam,3,KACANG TANAH,Kuintal/Ha,14.98,13.45,15.3,0.0,0.0,0.0
Subulussalam,Subulussalam,4,KEDELAI,Kuintal/Ha,15.69,16.59,14.29,0.0,0.0,0.0
Subulussalam,Subulussalam,5,PADI,Kuintal/Ha,51.69,53.37,45.9,0.0,0.0,0.0
Subulussalam,Subulussalam,6,PADI LADANG,Kuintal/Ha,0.0,0.0,0.0,0.0,0.0,0.0
Subulussalam,Subulussalam,7,PADI SAWAH,Kuintal/Ha,0.0,0.0,0.0,0.0,0.0,0.0
Subulussalam,Subulussalam,8,UBIJALAR,Kuintal/Ha,131.06,190.4,193.92,0.0,0.0,0.0
Subulussalam,Subulussalam,9,UBIKAYU / KETELA POHON,Kuintal/Ha,131.06,190.4,193.92,0.0,0.0,0.0
Nias,Nias,1,JAGUNG,Kuintal/Ha,0.0,0.0,0.0,0.0,0.0,0.0
Nias,Nias,2,KACANG HIJAU,Kuintal/Ha,0.0,0.0,0.0,0.0,0.0,0.0
Nias,Nias,3,KACANG TANAH,Kuintal/Ha,0.0,0.0,0.0,0.0,0.0,0.0
Nias,Nias,4,KEDELAI,Kuintal/Ha,0.0,0.0,0.0,0.0,0.0,0.0
Nias,Nias,5,PADI,Kuintal/Ha,37.2,40.62,45.75,0.0,0.0,0.0
Nias,Nias,6,PADI LADANG,Kuintal/Ha,0.0,0.0,0.0,0.0,0.0,0.0
Nias,Nias,7,PADI SAWAH,Kuintal/Ha,0.0,0.0,0.0,0.0,0.0,0.0
Nias,Nias,8,UBIJALAR,Kuintal/Ha,0.0,0.0,0.0,0.0,0.0,0.0
Nias,Nias,9,UBIKAYU / KETELA POHON,Kuintal/Ha,0.0,0.0,0.0,0.0,0.0,0.0
Mandailing,Mandailing Natal,1,JAGUNG,Kuintal/Ha,0.0,0.0,0.0,0.0,0.0,0.0
Mandailing,Mandailing Natal,2,KACANG HIJAU,Kuintal/Ha,0.0,0.0,0.0,0.0,0.0,0.0
Mandailing,Mandailing Natal,3,KACANG TANAH,Kuintal/Ha,0.0,0.0,0.0,0.0,0.0,0.0
Mandailing,Mandailing Natal,4,KEDELAI,Kuintal/Ha,0.0,0.0,0.0,0.0,0.0,0.0
Mandailing,Mandailing Natal,5,PADI,Kuintal/Ha,40.86,42.15,39.61,0.0,0.0,0.0
Mandailing,Mandailing Natal,6,PADI LADANG,Kuintal/Ha,0.0,0.0,0.0,0.0,0.0,0.0
Mandailing,Mandailing Natal,7,PADI SAWAH,Kuintal/Ha,0.0,0.0,0.0,0.0,0.0,0.0
Mandailing,Mandailing Natal,8,UBIJALAR,Kuintal/Ha,0.0,0.0,0.0,0.0,0.0,0.0
Mandailing,Mandailing Natal,9,UBIKAYU / KETELA POHON,Kuintal/Ha,0.0,0.0,0.0,0.0,0.0,0.0
Tapanuli,Tapanuli Selatan,1,JAGUNG,Kuintal/Ha,0.0,0.0,0.0,0.0,0.0,0.0
Tapanuli,Tapanuli Selatan,2,KACANG HIJAU,Kuintal/Ha,0.0,0.0,0.0,0.0,0.0,0.0
Tapanuli,Tapanuli Selatan,3,KACANG TANAH,Kuintal/Ha,0.0,0.0,0.0,0.0,0.0,0.0
Tapanuli,Tapanuli Selatan,4,KEDELAI,Kuintal/Ha,0.0,0.0,0.0,0.0,0.0,0.0
Tapanuli,Tapanuli Selatan,5,PADI,Kuintal/Ha,51.4,52.68,49.94,0.0,0.0,0.0
Tapanuli,Tapanuli Selatan,6,PADI LADANG,Kuintal/Ha,0.0,0.0,0.0,0.0,0.0,0.0
Tapanuli,Tapanuli Selatan,7,PADI SAWAH,Kuintal/Ha,0.0,0.0,0.0,0.0,0.0,0.0
