tanggal_data,harga_rata_rata,variant_id,variant_nama
2025-07-23 00:00:00+00:00,17516.482180433366,16,Minyak Goreng Sawit Curah
2025-07-24 00:00:00+00:00,17524.815486884978,16,Minyak Goreng Sawit Curah
2025-07-25 00:00:00+00:00,17517.397779162595,16,Minyak Goreng Sawit Curah
2025-07-28 00:00:00+00:00,17538.398512300424,16,Minyak Goreng Sawit Curah
2025-07-29 00:00:00+00:00,17541.150227842947,16,Minyak Goreng Sawit Curah
2025-07-30 00:00:00+00:00,17527.17173321929,16,Minyak Goreng Sawit Curah
2025-07-31 00:00:00+00:00,17530.920874226133,16,Minyak Goreng Sawit Curah
2025-08-01 00:00:00+00:00,17527.023041870318,16,Minyak Goreng Sawit Curah
2025-05-06 00:00:00+00:00,17045.296954613703,18,Minyakita
2025-05-07 00:00:00+00:00,16986.660264839516,18,Minyakita
2025-05-08 00:00:00+00:00,16986.660264839516,18,Minyakita
2025-05-09 00:00:00+00:00,17013.687224298974,18,Minyakita
2025-05-14 00:00:00+00:00,16992.00931213681,18,Minyakita
2025-05-15 00:00:00+00:00,16992.611665847668,18,Minyakita
2025-05-16 00:00:00+00:00,17000.730515375766,18,Minyakita
2025-05-19 00:00:00+00:00,16974.18893879919,18,Minyakita
2025-05-20 00:00:00+00:00,16978.422464597716,18,Minyakita
2025-05-21 00:00:00+00:00,17014.769352277603,18,Minyakita
2025-05-22 00:00:00+00:00,17005.347437863187,18,Minyakita
2025-05-23 00:00:00+00:00,16997.882875443625,18,Minyakita
2025-05-26 00:00:00+00:00,16942.399653699154,18,Minyakita
2025-05-27 00:00:00+00:00,16946.094438126438,18,Minyakita
2025-05-28 00:00:00+00:00,16838.199051489803,18,Minyakita
2025-06-02 00:00:00+00:00,16826.438371738623,18,Minyakita
2025-06-03 00:00:00+00:00,16852.78991255216,18,Minyakita
2025-06-04 00:00:00+00:00,16839.753495475994,18,Minyakita
2025-06-05 00:00:00+00:00,16853.048442416442,18,Minyakita
2025-06-10 00:00:00+00:00,16838.093392866893,18,Minyakita
2025-06-11 00:00:00+00:00,16818.449291413166,18,Minyakita
2025-06-12 00:00:00+00:00,16814.22251663839,18,Minyakita
2025-06-13 00:00:00+00:00,16808.53043391931,18,Minyakita
2025-06-16 00:00:00+00:00,16787.89018231056,18,Minyakita
2025-06-17 00:00:00+00:00,16778.34758739421,18,Minyakita
2025-06-18 00:00:00+00:00,16776.129161718538,18,Minyakita
2025-06-19 00:00:00+00:00,16788.057890629265,18,Minyakita
2025-06-20 00:00:00+00:00,16706.346178917553,18,Minyakita
2025-06-23 00:00:00+00:00,16722.702478467105,18,Minyakita
2025-06-24 00:00:00+00:00,16688.358116605243,18,Minyakita
2025-06-25 00:00:00+00:00,16691.088121587498,18,Minyakita
2025-06-26 00:00:00+00:00,16683.480526992902,18,Minyakita
2025-06-30 00:00:00+00:00,16692.489581046957,18,Minyakita
2025-07-01 00:00:00+00:00,16714.00753463691,18,Minyakita
2025-07-02 00:00:00+00:00,16720.93949409637,18,Minyakita
2025-07-03 00:00:00+00:00,16686.389926528802,18,Minyakita
2025-07-04 00:00:00+00:00,16672.111851921727,18,Minyakita
2025-07-07 00:00:00+00:00,16680.82593491381,18,Minyakita
2025-07-08 00:00:00+00:00,16670.26289437327,18,Minyakita
2025-07-09 00:00:00+00:00,16697.126116731994,18,Minyakita
2025-07-10 00:00:00+00:00,16686.900914029287,18,Minyakita
2025-07-11 00:00:00+00:00,16685.954968083344,18,Minyakita
2025-07-14 00:00:00+00:00,16705.30931493019,18,Minyakita
2025-07-15 00:00:00+00:00,16680.653983405482,18,Minyakita
2025-07-16 00:00:00+00:00,16608.071403825903,18,Minyakita
2025-07-17 00:00:00+00:00,16625.353647069147,18,Minyakita
2025-07-18 00:00:00+00:00,16622.096753812253,18,Minyakita
2025-07-21 00:00:00+00:00,16599.685181330682,18,Minyakita
2025-07-22 00:00:00+00:00,16601.71220835771,18,Minyakita
2025-07-23 00:00:00+00:00,16580.03051015951,18,Minyakita
2025-07-24 00:00:00+00:00,16582.763302952302,18,Minyakita
2025-07-25 00:00:00+00:00,16579.133794352794,18,Minyakita
2025-07-28 00:00:00+00:00,16597.21325995476,18,Minyakita
2025-07-29 00:00:00+00:00,16605.396435630435,18,Minyakita
2025-07-30 00:00:00+00:00,16637.299255723257,18,Minyakita
2025-07-31 00:00:00+00:00,16639.009340182714,18,Minyakita
2025-08-01 00:00:00+00:00,16632.796651520028,18,Minyakita
2025-05-06 00:00:00+00:00,13124.267052076213,26,Tepung Terigu
2025-05-07 00:00:00+00:00,13128.073419557417,26,Tepung Terigu
2025-05-08 00:00:00+00:00,13128.073419557417,26,Tepung Terigu
2025-05-09 00:00:00+00:00,13159.652366925837,26,Tepung Terigu
2025-05-14 00:00:00+00:00,13152.525097188995,26,Tepung Terigu
2025-05-15 00:00:00+00:00,13150.067548003532,26,Tepung Terigu
2025-05-16 00:00:00+00:00,13132.077182914672,26,Tepung Terigu
2025-05-19 00:00:00+00:00,13138.19096381579,26,Tepung Terigu
2025-05-20 00:00:00+00:00,13140.060545421318,26,Tepung Terigu
2025-05-21 00:00:00+00:00,13141.510432117226,26,Tepung Terigu
2025-05-22 00:00:00+00:00,13149.295514354068,26,Tepung Terigu
2025-05-23 00:00:00+00:00,13144.909593301436,26,Tepung Terigu
2025-05-26 00:00:00+00:00,13140.962224880383,26,Tepung Terigu
2025-05-27 00:00:00+00:00,13143.035546251993,26,Tepung Terigu
2025-05-28 00:00:00+00:00,13182.50923046252,26,Tepung Terigu
2025-06-02 00:00:00+00:00,13183.825019936205,26,Tepung Terigu
2025-06-03 00:00:00+00:00,13170.667125199361,26,Tepung Terigu
2025-06-04 00:00:00+00:00,13168.035546251993,26,Tepung Terigu
2025-06-05 00:00:00+00:00,13161.602805023924,26,Tepung Terigu
2025-06-10 00:00:00+00:00,13174.955582801702,26,Tepung Terigu
